順号,仕込規模,留日,仕込区分,製法区分,上槽予定,タンク番号,備考,順号,使用区分,日付,白米品種,精米歩合,数量,順号,使用区分,日付,白米品種,精米歩合,数量,順号,使用区分,日付,白米品種,精米歩合,数量,順号,使用区分,日付,白米品種,精米歩合,数量,順号,使用区分,日付,白米品種,精米歩合,数量,順号,使用区分,日付,白米品種,精米歩合,数量,順号,使用区分,日付,白米品種,精米歩合,数量,順号,使用区分,日付,白米品種,精米歩合,数量,順号,使用区分,日付,白米品種,精米歩合,数量
1,1350,45926,純米60/65,,45949,28,辛口(1),1,モト麹,45911,R6八反錦60,60,25,1,モト掛,45914,R6八反錦60,60,45,1,初麹,45919,R6八反錦60,60,60,1,初掛,45922,R6加工用米原形65,65,140,1,仲麹,45921,R6八反錦60,60,80,1,仲掛,45924,R6加工用米原形65,65,330,1,留麹,45922,R6八反錦60,60,120,1,留掛,45925,R6加工用米原形65,65,540,1,四段,45947,R6加工用米原形65,65,43
2,1200,45928,吟醸60,,45951,225,,2,モト麹,45911,R6八反錦60,60,20,2,モト掛,45916,R6八反錦60,60,40,2,初麹,45921,R6八反錦60,60,55,2,初掛,45924,R6加工用米原形60,60,125,2,仲麹,45919,R6八反錦60,60,75,2,仲掛,45926,R6加工用米原形60,60,285,2,留麹,45924,R6八反錦60,60,110,2,留掛,45927,R6加工用米原形60,60,480,2,四段,45949,R6加工用米原形60,60,70
3,1000,45930,純大山田錦50,,45955,226,,3,モト麹,45912,R6兵庫山田錦40,40,20,3,モト掛,45915,R6岡山山田錦50,50,35,3,初麹,45923,R6岡山山田錦50,50,45,3,初掛,45926,R6岡山山田錦50,50,105,3,仲麹,45923,R6岡山山田錦50,50,60,3,仲掛,45928,R6広島山田錦50,50,240,3,留麹,45926,R6岡山山田錦50,50,90,3,留掛,45929,R6広島山田錦50,50,315,3,四段,45953,R6岡山山田錦50,50,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,留掛,45929,R6岡山山田錦50,50,90,,,,,,
4,1220,45932,特純13度山田錦60,,45957,227,13度(1),4,モト麹,45912,R6兵庫山田錦40,40,25,4,モト掛,45917,R6岡山山田錦50,50,40,4,初麹,45925,R6岡山山田錦60,60,55,4,初掛,45928,R6岡山山田錦60,60,115,4,仲麹,45925,R6岡山山田錦60,60,70,4,仲掛,45930,R6岡山山田錦60,60,270,4,留麹,45928,R6岡山山田錦60,60,100,4,留掛,45931,R6岡山山田錦60,60,392,4,四段,45955,R6岡山山田錦60,60,120
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,留掛,45931,R6岡山山田錦50,50,48,,,,,,
5,900,45934,大吟40,,45962,263,山田錦100%,5,モト麹,45912,R6兵庫山田錦40,40,20,5,モト掛,45919,R6兵庫山田錦40,40,30,5,初麹,45927,R6兵庫山田錦40,40,40,5,初掛,45930,R6兵庫山田錦40,40,95,5,仲麹,45927,R6兵庫山田錦40,40,55,5,仲掛,45932,R6兵庫山田錦40,40,215,5,留麹,45930,R6兵庫山田錦40,40,80,5,留掛,45933,R6兵庫山田錦40,40,365,5,四段,45958,R6兵庫山田錦40,40,0
8,874,45940,にごり酒,,45958,288,,8,モト麹,45922,乾燥麹70,70,0,8,モト掛,45925,こいもみじ70,70,0,8,初麹,45933,乾燥麹70,70,47,8,初掛,45936,こいもみじ70,70,90,8,仲麹,45935,乾燥麹70,70,57,8,仲掛,45938,こいもみじ70,70,215,8,留麹,45936,乾燥麹70,70,70,8,留掛,45939,こいもみじ70,70,315,8,四段,45956,こいもみじ70,70,80
9,874,45942,にごり酒,,45960,888,,9,モト麹,45924,乾燥麹70,70,0,9,モト掛,45927,こいもみじ70,70,0,9,初麹,45935,乾燥麹70,70,47,9,初掛,45938,こいもみじ70,70,90,9,仲麹,45937,乾燥麹70,70,57,9,仲掛,45940,こいもみじ70,70,215,9,留麹,45938,乾燥麹70,70,70,9,留掛,45941,こいもみじ70,70,315,9,四段,45958,こいもみじ70,70,87
6,900,45936,純吟50/60,,45959,18,,6,モト麹,45920,R6八反錦60,60,20,6,モト掛,45923,R6広島雄町60,60,30,6,初麹,45929,R6広島山田錦50,50,40,6,初掛,45932,R6広島雄町60,60,95,6,仲麹,45929,R6広島山田錦50,50,55,6,仲掛,45934,R6広島雄町60,60,215,6,留麹,45932,R6広島山田錦50,50,80,6,留掛,45935,R6広島雄町60,60,277,6,四段,45957,R6加工用米原形60,60,40
